Africa/Johannesburg,Open,High,Low,Close,Volume
01.01.2025 00:00:00 UTC+02:00,2625.098,2626.005,2621.475,2623.555,0.76854
02.01.2025 00:00:00 UTC+02:00,2657.248,2660.375,2622.448,2625.185,65.552437
03.01.2025 00:00:00 UTC+02:00,2638.115,2665.185,2636.625,2660.655,64.408739
05.01.2025 00:00:00 UTC+02:00,2639.298,2642.235,2638.815,2640.848,1.07542
06.01.2025 00:00:00 UTC+02:00,2635.618,2649.305,2614.365,2643.065,72.42604
07.01.2025 00:00:00 UTC+02:00,2647.965,2664.098,2632.775,2634.895,59.18013
08.01.2025 00:00:00 UTC+02:00,2660.865,2669.844,2645.095,2650.435,68.04813
09.01.2025 00:00:00 UTC+02:00,2670.255,2678.395,2655.305,2659.775,61.46308
10.01.2025 00:00:00 UTC+02:00,2690.495,2697.709,2663.205,2670.395,92.653372
12.01.2025 00:00:00 UTC+02:00,2690.155,2690.868,2687.189,2690.868,1.1415
13.01.2025 00:00:00 UTC+02:00,2662.633,2693.245,2656.615,2689.395,84.55709
14.01.2025 00:00:00 UTC+02:00,2677.475,2679.198,2659.645,2670.255,68.422645
15.01.2025 00:00:00 UTC+02:00,2697.348,2697.448,2669.315,2672.645,69.601955
16.01.2025 00:00:00 UTC+02:00,2714.595,2724.565,2689.725,2695.045,78.60753
17.01.2025 00:00:00 UTC+02:00,2700.705,2717.375,2698.445,2714.509,59.46812
19.01.2025 00:00:00 UTC+02:00,2701.105,2702.765,2690.875,2696.245,1.83285
20.01.2025 00:00:00 UTC+02:00,2706.055,2713.655,2689.308,2694.345,42.00634
21.01.2025 00:00:00 UTC+02:00,2743.808,2745.848,2702.745,2705.285,57.77121
22.01.2025 00:00:00 UTC+02:00,2755.495,2763.205,2742.455,2748.045,49.19568
23.01.2025 00:00:00 UTC+02:00,2754.415,2758.655,2735.665,2755.178,66.88242
24.01.2025 00:00:00 UTC+02:00,2770.875,2785.825,2754.075,2759.585,62.84144
26.01.2025 00:00:00 UTC+02:00,2770.305,2770.405,2764.455,2767.285,1.69535
27.01.2025 00:00:00 UTC+02:00,2739.765,2772.415,2730.529,2769.455,57.07971
28.01.2025 00:00:00 UTC+02:00,2762.448,2764.875,2734.738,2740.455,52.49054
29.01.2025 00:00:00 UTC+02:00,2758.595,2765.985,2745,2763.755,67.476454
30.01.2025 00:00:00 UTC+02:00,2793.148,2798.305,2758.475,2761.828,73.372815
31.01.2025 00:00:00 UTC+02:00,2800.738,2816.935,2790.895,2795.705,74.38939
02.02.2025 00:00:00 UTC+02:00,2793.987,2803.148,2782.548,2792.545,2.31274
03.02.2025 00:00:00 UTC+02:00,2812.248,2830.305,2771.885,2792.005,75.213637
04.02.2025 00:00:00 UTC+02:00,2841.325,2845.335,2806.925,2816.855,59.80671
05.02.2025 00:00:00 UTC+02:00,2865.995,2882.215,2839.335,2845.085,48.56976
06.02.2025 00:00:00 UTC+02:00,2855.298,2873.085,2833.955,2869.535,53.19276
07.02.2025 00:00:00 UTC+02:00,2860.485,2886.605,2852.085,2858.275,49.766367
09.02.2025 00:00:00 UTC+02:00,2858.065,2870.305,2854.448,2867.198,0.97769
10.02.2025 00:00:00 UTC+02:00,2906.968,2921.455,2865.558,2867.825,58.954871
11.02.2025 00:00:00 UTC+02:00,2896.578,2942.665,2881.635,2922.115,58.200621
12.02.2025 00:00:00 UTC+02:00,2903.485,2909.035,2863.685,2892.135,50.949964
13.02.2025 00:00:00 UTC+02:00,2926.735,2932.215,2901.188,2906.065,45.09187
14.02.2025 00:00:00 UTC+02:00,2885.248,2939.935,2876.805,2927.645,54.175658
16.02.2025 00:00:00 UTC+02:00,2881.745,2893.405,2878.015,2879.075,1.493
17.02.2025 00:00:00 UTC+02:00,2898.545,2906.215,2879.095,2883.275,33.78706
18.02.2025 00:00:00 UTC+02:00,2934.248,2936.825,2891.775,2899.135,53.55673
19.02.2025 00:00:00 UTC+02:00,2935.395,2946.865,2918.365,2929.035,51.380815
20.02.2025 00:00:00 UTC+02:00,2938.165,2954.755,2923.945,2940.685,38.81297
21.02.2025 00:00:00 UTC+02:00,2934.555,2949.545,2916.615,2939.795,47.86196
23.02.2025 00:00:00 UTC+02:00,2934.815,2940.068,2933.198,2936.635,1.03293
24.02.2025 00:00:00 UTC+02:00,2952.315,2956.035,2921.055,2930.055,61.32619
25.02.2025 00:00:00 UTC+02:00,2913.965,2952.405,2888.085,2949.455,61.094415
26.02.2025 00:00:00 UTC+02:00,2915.878,2929.995,2890.588,2923.335,49.87912
27.02.2025 00:00:00 UTC+02:00,2875.895,2918.975,2867.565,2916.965,60.162735
28.02.2025 00:00:00 UTC+02:00,2854.495,2884.925,2832.455,2876.755,60.364789
02.03.2025 00:00:00 UTC+02:00,2855.205,2876.905,2855.075,2870.608,2.484604
03.03.2025 00:00:00 UTC+02:00,2891.785,2894.985,2858.735,2865.495,44.74469
04.03.2025 00:00:00 UTC+02:00,2917.155,2927.715,2881.648,2891.625,55.68225
05.03.2025 00:00:00 UTC+02:00,2918.258,2929.748,2894.145,2913.845,80.543
06.03.2025 00:00:00 UTC+02:00,2910.898,2926.425,2890.815,2916.505,54.483533
07.03.2025 00:00:00 UTC+02:00,2909.565,2930.185,2895.698,2904.535,44.577185
09.03.2025 00:00:00 UTC+02:00,2911.638,2916.678,2909.475,2911.648,1.75837
10.03.2025 00:00:00 UTC+02:00,2884.378,2918.125,2879.935,2913.665,74.01147
11.03.2025 00:00:00 UTC+02:00,2917.118,2922.048,2879.938,2886.998,50.798845
12.03.2025 00:00:00 UTC+02:00,2937.985,2940.348,2905.755,2914.085,54.37968
13.03.2025 00:00:00 UTC+02:00,2986.938,2989.785,2932.768,2938.425,56.390906
14.03.2025 00:00:00 UTC+02:00,2983.845,3004.725,2978.085,2986.465,57.662194
16.03.2025 00:00:00 UTC+02:00,2988.925,2993.905,2983.048,2988.855,2.46998
17.03.2025 00:00:00 UTC+02:00,2999.855,3002.665,2981.975,2990.765,46.76081
18.03.2025 00:00:00 UTC+02:00,3034.238,3038.058,2999.258,3001.298,55.57437
19.03.2025 00:00:00 UTC+02:00,3049.948,3051.758,3022.315,3031.195,47.54308
20.03.2025 00:00:00 UTC+02:00,3045.548,3057.245,3025.428,3052.978,55.12976
21.03.2025 00:00:00 UTC+02:00,3019.855,3047.265,2999.268,3042.625,48.944714
23.03.2025 00:00:00 UTC+02:00,3025.245,3026.045,3020.155,3025.348,0.93748
24.03.2025 00:00:00 UTC+02:00,3011.205,3033.135,3002.145,3018.355,51.113446
25.03.2025 00:00:00 UTC+02:00,3020.995,3035.905,3007.315,3013.905,43.084955
26.03.2025 00:00:00 UTC+02:00,3019.205,3031.945,3012.125,3017.865,43.245185
27.03.2025 00:00:00 UTC+02:00,3054.848,3059.518,3021.355,3025.125,46.696835
28.03.2025 00:00:00 UTC+02:00,3080.595,3086.725,3054.685,3061.885,45.318618
30.03.2025 00:00:00 UTC+02:00,3089.755,3097.715,3085.355,3089.795,2.05534
31.03.2025 00:00:00 UTC+02:00,3122.548,3127.825,3076.485,3078.748,47.05083